No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
71,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J043716.53-464103.1</a>",69.318875,-46.684167,G,14921.869804,0.049774,PUN,6,,38,9,1,2,,,1,1,
72,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J044210.39-231500.9</a>",70.543333,-23.250250,G,20135.860234,0.067166,SLS,8,,39,10,4,2,,,1,1,1
73,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J044418.27-215247.7</a>",71.076125,-21.879889,G,22781.829398,0.075992,SUN,8,,39,9,3,2,1,,,1,
74,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J044935.56-730318.4</a>",72.398333,-73.055139,G,19426.551278,0.064800,PUN,4,,37,8,1,2,,,,1,
75,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J083440.17+154710.6</a>",128.667419,15.786278,G,31583.379781,0.105351,SLS,20,,57,9,7,6,,,,1,1
76,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J102351.96+332418.6</a>",155.966463,33.405179,G,37348.045486,0.124580,SLS,14,,68,7,4,10,,,,1,1
77,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J10402822+2414033</a>",160.117708,24.234167,G,13090.018569,0.043664,SLS,27,,25,11,10,2,,,,1,1
78,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J104620.88+430112.3</a>",161.587167,43.020222,G,22232.187177,0.074159,SLS,25,,54,13,9,6,,,,1,1
79,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111344.81+391939.9</a>",168.436701,39.327768,G,20044.873223,0.066863,SLS,19,,72,9,6,10,,,,1,1
80,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1134+219</a>",174.156939,21.689883,G,18778.999569,0.062640,SUN,10,,43,6,2,4,1,,,,
81,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115349.85+211309.5</a>",178.457874,21.219205,G,6896.000000,0.023003,SLS,25,,52,14,9,6,1,,,1,
82,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121744.55+204429.3</a>",184.435622,20.741499,G,36912.593943,0.123127,SLS,17,,43,7,3,4,,,,,
83,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J123337.81+195158.2</a>",188.407500,19.865861,G,21988.228066,0.073345,SLS,17,,27,6,5,2,1,,,1,
84,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J130503.03+404552.9</a>",196.262686,40.764716,G,17042.791721,0.056849,SLS,25,,75,12,6,10,,,,1,1
85,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1312+220B</a>",198.673045,21.793020,G,18898.182061,0.063038,SLS,12,,51,9,6,6,,,,1,
