_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad
47.5634167,-35.0186111,51,4,03 10 15.22,-35 01 07.0,0.0,,20.3004,20.3873,Simbad
50.0702083,-40.1783056,52,1,03 20 16.85,-40 10 41.9,0.0,,20.3204,20.3335,Simbad
50.0964167,-40.2083889,52,2,03 20 23.14,-40 12 30.2,0.0,,20.044,19.421,Simbad
50.0977083,-40.1853889,52,3,03 20 23.45,-40 11 07.4,0.0,,20.001,19.3614,Simbad
50.1264167,-40.2006111,52,4,03 20 30.34,-40 12 02.2,0.0,,20.1828,20.3188,Simbad
51.631,-42.8516111,53,1,03 26 31.44,-42 51 05.8,0.0,,19.9958,19.5678,Simbad
51.6342083,-42.8236944,53,2,03 26 32.21,-42 49 25.3,0.0,,19.5788,19.4646,Simbad
51.6362083,-42.8303889,53,3,03 26 32.69,-42 49 49.4,0.0,,20.2997,19.7664,Simbad
51.6395,-42.814,53,4,03 26 33.48,-42 48 50.4,0.0,,20.4018,19.2053,Simbad
52.9395833,-39.6141944,54,1,03 31 45.50,-39 36 51.1,0.0,,20.2266,20.073,Simbad
52.9467917,-39.6316111,54,2,03 31 47.23,-39 37 53.8,0.10668,,19.8661,19.5581,Simbad
52.9580833,-39.6315,54,3,03 31 49.94,-39 37 53.4,0.0,,20.3219,21.4014,Simbad
52.9720833,-39.6138056,54,4,03 31 53.30,-39 36 49.7,0.0,,18.6888,18.3777,Simbad
53.2539167,-47.6656944,55,1,03 33 00.94,-47 39 56.5,0.0,,20.2183,19.923,Simbad
53.2622083,-47.674,55,2,03 33 02.93,-47 40 26.4,0.0,,20.0421,19.7671,Simbad
53.2657917,-47.6608889,55,3,03 33 03.79,-47 39 39.2,0.0,,20.1609,19.6938,Simbad
53.2745833,-47.6536944,55,4,03 33 05.90,-47 39 13.3,0.0,,20.307,20.7464,Simbad
53.4352083,-30.3173889,56,1,03 33 44.45,-30 19 02.6,0.130297,,20.2098,19.575,Simbad
53.4385833,-30.3025,56,2,03 33 45.26,-30 18 09.0,0.1061,,20.3328,20.2223,Simbad
53.4432917,-30.3338889,56,3,03 33 46.39,-30 20 02.0,0.1064,,19.3753,18.7572,Simbad
53.4454167,-30.3058056,56,4,03 33 46.90,-30 18 20.9,0.0,,20.1442,19.4364,Simbad
53.782,-33.4826944,57,1,03 35 07.68,-33 28 57.7,0.0,,19.6652,18.7897,Simbad
