RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag
187.3199539,38.9365524,16.883,16.689,12.582,9.083
187.3212533,38.9545770,16.930,16.948,12.683,8.971
187.3239582,38.9469397,16.195,16.009,12.129,8.713
188.4075735,19.8661892,13.276,12.981,8.848,7.004
188.4131501,19.8787409,15.092,14.835,11.002,8.448
188.4353846,19.8652845,16.031,15.558,12.340,8.621
190.3042479,18.3026743,14.080,13.909,10.252,8.521
190.3135036,18.3040359,16.971,16.511,12.618,8.352
190.3347778,18.3064123,14.208,14.080,11.437,8.413
190.3226789,52.7967179,14.862,14.655,11.253,8.744
190.3618740,52.7993548,16.092,16.063,12.645,9.442
190.3694450,52.8127691,15.210,15.077,11.820,8.795
190.3946737,52.8107194,14.723,14.573,10.706,8.857
191.2625378,35.6505503,15.043,14.598,10.875,8.444
191.2647917,35.6225807,15.677,15.337,11.584,8.845
191.2711543,35.6444451,15.217,14.764,11.234,8.264
191.2734658,35.6643244,16.893,17.019,12.536,8.837
191.2888300,23.0389976,14.296,14.139,10.685,8.491
195.7292275,5.5207715,13.298,13.058,9.089,7.247
195.7339895,5.5119786,14.738,14.512,10.246,7.330
195.7357690,5.5172620,13.453,13.204,9.343,6.852
196.2460430,40.7777962,15.205,14.364,11.292,9.062
196.2626461,40.7647012,12.433,12.080,7.608,5.040
196.2693996,40.7476435,13.687,13.498,9.526,7.563
196.2815036,40.7555929,16.442,16.324,12.694,8.965
196.7336887,40.0349311,15.632,15.392,12.567,8.793
196.7405608,40.0210749,14.357,14.104,9.811,7.969
196.7464197,40.0254658,16.036,15.941,12.324,8.845
196.7568781,40.0252745,13.617,13.319,9.307,6.857
197.1819617,28.8910087,15.084,14.981,11.342,9.272
197.4529134,30.4294356,15.308,15.186,11.515,8.734
197.4721179,30.4286797,16.688,16.336,13.025,9.209
197.4830451,30.4214854,15.461,15.288,12.644,9.060
197.9820995,59.8299449,14.458,14.300,10.662,9.016
198.0057975,59.8324552,16.179,15.873,12.605,9.056
198.0287875,59.8321584,15.472,15.241,11.663,8.719
198.2610997,12.6973587,13.221,13.111,9.566,8.435
198.2802193,12.6613030,14.156,13.775,10.354,8.621
198.2811521,12.6837310,15.650,15.530,11.968,8.997
198.4354095,6.9920721,11.155,10.984,7.000,5.004
198.4551508,6.9626288,13.571,13.483,9.961,8.130
198.5665216,17.2341365,14.168,13.903,9.823,7.953
198.5740156,17.2181522,16.375,15.953,12.593,9.078
198.5766071,17.2044153,12.311,12.022,7.578,5.293
198.5775604,17.2470863,16.153,15.948,12.685,8.903
198.6642534,21.8090209,14.252,14.023,10.132,8.504
198.6729705,21.7930354,12.639,12.384,8.128,5.947
198.6869650,21.8154989,15.796,15.415,11.865,8.901
199.6984692,33.5311227,14.415,14.170,10.815,8.705
199.7298715,33.5506911,15.530,15.465,12.399,9.019
200.1708457,34.1842959,13.326,13.183,10.093,8.516
200.1958601,34.1927198,13.462,13.272,9.440,7.633
200.2161757,34.1991454,13.527,13.318,10.528,8.944
200.2379140,34.2136382,13.760,13.558,10.696,8.701
202.0120763,31.9587888,12.122,12.153,10.295,8.450
202.0160621,31.9135396,15.162,15.034,11.209,8.736
202.0188450,31.9537215,16.893,16.432,12.509,9.073
202.0282085,31.9322440,14.352,14.285,11.197,8.787
202.4859256,9.4433153,13.773,13.640,10.231,7.667
202.4913406,9.4108008,13.335,13.105,9.197,7.163
202.4943348,9.4034678,13.297,13.130,9.601,7.478
203.3178267,11.0759761,16.606,17.250,12.766,9.043
203.3288788,11.1171537,12.838,12.724,9.005,6.729
203.3395514,11.1023818,15.686,15.505,11.771,8.533
203.6864386,33.8904217,11.830,11.917,10.805,8.477
203.7142496,33.8892980,14.682,14.560,10.925,8.747
203.8034942,80.5281905,14.007,13.728,9.733,6.913
203.9232876,80.5109495,12.597,12.373,8.091,6.074
203.9330097,80.5049581,13.550,13.401,9.783,7.425
204.8738745,4.5113781,14.537,14.352,11.463,8.859
204.8797183,4.5132387,15.785,15.678,12.726,8.887
204.8840617,4.5080777,16.818,16.736,12.839,8.919
206.3662314,18.2010664,13.793,12.763,10.395,8.104
206.3739429,18.2224664,13.861,13.646,11.822,8.665
206.3781046,18.2384833,14.420,14.182,9.962,7.743
206.3909333,18.2307179,15.265,15.058,10.959,8.202
206.8467392,-30.4176558,11.594,11.637,10.786,8.973
206.8502786,32.5333320,14.081,13.778,10.153,8.201
206.8631780,32.5055001,14.880,14.606,12.089,8.551
206.8669661,32.5243338,14.013,13.635,9.593,7.717
206.8798068,32.5065389,14.210,13.654,10.066,7.884
207.3302081,21.6832703,16.231,16.275,12.216,8.458
207.3475246,21.6976129,15.367,15.392,12.086,8.763
207.3611445,21.6923922,15.384,14.234,11.833,8.952
208.8225696,6.5620164,13.383,13.284,10.603,8.448
208.8381203,6.5562411,14.501,14.324,10.782,7.898
208.8462490,6.5483769,15.749,15.443,12.296,9.314
210.4629571,-3.1903083,16.248,16.165,12.712,8.621
210.4669759,-3.2052191,14.484,14.298,10.604,8.542
210.5990500,54.4868257,16.846,16.343,12.987,9.022
210.9721041,26.3668286,15.244,14.945,10.867,8.655
210.9745198,26.3604508,14.326,13.983,10.188,7.989
210.9836138,26.3722999,13.772,13.545,9.779,8.062
211.1886936,24.1928473,14.239,14.026,9.864,7.792
211.2174097,24.1722945,16.253,16.242,12.719,9.329
211.6824981,47.2750266,16.279,15.900,12.894,9.241
211.6852021,47.2672550,13.028,12.678,8.482,6.721
211.6883295,47.2921840,16.246,16.075,12.444,9.331
211.7026429,47.2861420,15.094,14.420,11.577,8.829
212.8342869,-29.6368948,16.173,16.188,12.228,8.801
212.8614064,-29.6357551,13.661,13.570,9.841,8.229
213.2155302,23.3322685,15.718,15.688,12.768,8.848
213.2258852,23.3375704,16.121,15.920,12.904,9.110
213.2377299,23.3180542,14.376,14.159,10.475,9.137
215.5024565,28.8639978,15.633,15.456,12.962,8.905
215.5174134,28.8666745,16.398,16.679,13.125,8.799
216.5356940,29.7267009,14.590,14.325,10.337,8.087
216.5452360,29.7453067,15.665,15.498,12.750,9.316
216.5532831,29.6944998,13.275,13.146,9.475,7.688
219.2209617,12.1613198,13.223,13.131,10.864,8.856
219.2210408,12.1390608,14.152,13.971,10.209,8.160
219.2653100,12.1763318,13.935,13.053,10.681,8.773
219.6912496,9.0409179,15.118,14.912,11.111,8.457
219.7153362,9.0469413,13.669,13.468,9.595,7.855
219.7306925,9.0551479,14.385,14.104,10.095,8.048
