ID,Field,RA,DEC,Group,Gal,zmemb,u_aper_6,e_u_aper_6,J0378_aper_6,e_J0378_aper_6,J0395_aper_6,e_J0395_aper_6,J0410_aper_6,e_J0410_aper_6,J0430_aper_6,e_J0430_aper_6,g_aper_6,e_g_aper_6,J0515_aper_6,e_J0515_aper_6,r_aper_6,e_r_aper_6,J0660_aper_6,e_J0660_aper_6,i_aper_6,e_i_aper_6,J0861_aper_6,e_J0861_aper_6,z_aper_6,e_z_aper_6,type,zmemb_2
iDR4_3_SPLUS-s20s22_0064389,SPLUS-s20s22,314.4727818059864,-24.962264295475755,186,1,0.094365,20.62242889404297,0.1214097812771797,20.184890747070312,0.1403364241123199,20.727277755737305,0.3793769776821136,19.470354080200195,0.1195524036884307,19.571632385253903,0.1248549968004226,18.85835266113281,0.0242776330560445,18.54722023010254,0.0434761941432952,18.088682174682617,0.0148033518344163,17.913782119750977,0.0149248214438557,17.63656997680664,0.0151868388056755,17.456457138061523,0.0257191509008407,17.428159713745117,0.0213371589779853,REX,0.0
iDR4_3_SPLUS-s20s22_0063951,SPLUS-s20s22,314.494175461078,-24.96282898768995,186,4,0.094365,19.36984062194824,0.0422460176050663,19.09254646301269,0.055268321186304,18.891077041625977,0.075040265917778,18.69826889038086,0.0617386400699615,18.54875946044922,0.0525116100907325,18.130905151367188,0.0140699325129389,17.857725143432617,0.0254652854055166,17.634750366210938,0.0105106709524989,17.529083251953125,0.0112378047779202,17.261167526245117,0.0111937662586569,17.213693618774414,0.0208739470690488,17.187789916992188,0.0172681733965873,SER,0.0
iDR4_3_SPLUS-s20s22_0065299,SPLUS-s20s22,314.4822180456084,-24.984532057431263,186,2,0.094365,19.581762313842773,0.0508751980960369,19.718334197998047,0.0949209630489349,19.84689140319824,0.1747732162475586,19.516923904418945,0.1207777261734008,19.21677589416504,0.0888047069311142,19.490365982055664,0.0384759753942489,19.443511962890625,0.0885543227195739,19.695220947265625,0.0529014021158218,19.925521850585938,0.0741970315575599,19.939510345458984,0.1106971576809883,20.276153564453125,0.3152502179145813,20.310874938964844,0.286516934633255,PSF,0.0
iDR4_3_SPLUS-s20s22_0063432,SPLUS-s20s22,314.4895828137078,-24.948032164692712,186,3,0.094365,19.463706970214844,0.0451178327202796,19.31319236755371,0.0661648511886596,19.00504493713379,0.0818423852324485,18.575040817260746,0.0558530911803245,18.58184242248535,0.0539054162800312,18.088851928710938,0.0136582786217331,17.800235748291016,0.0243727434426546,17.435590744018555,0.0091157080605626,17.313474655151367,0.009646532125771,16.950410842895508,0.008779477328062,16.84619140625,0.015523905865848,16.761293411254883,0.0120423706248402,SER,1.0
iDR4_3_SPLUS-s22s19_0037308,SPLUS-s22s19,27.485685992514604,-27.818795961429235,230,3,0.042866,18.08310317993164,0.0191655531525611,17.790266036987305,0.0246175378561019,17.540842056274414,0.0311044175177812,17.38204002380371,0.0247535780072212,17.089977264404297,0.0198722705245018,16.72173309326172,0.0063161198049783,16.481739044189453,0.0110335117205977,15.955742835998535,0.0037481528706848,15.887964248657228,0.0041504059918224,15.537763595581056,0.0032002101652324,15.316227912902832,0.0051437164656817,15.255684852600098,0.0036567023489624,SER,1.0
iDR4_3_SPLUS-s22s19_0036973,SPLUS-s22s19,27.4914087353479,-27.81217297917489,230,4,0.088395,19.19624710083008,0.0439675003290176,18.867565155029297,0.0552674531936645,18.73928451538086,0.0778147652745246,18.53553581237793,0.0588855408132076,18.258798599243164,0.0461307317018508,17.80596923828125,0.0125819584354758,17.52348518371582,0.0216804072260856,17.12154769897461,0.0074868709780275,17.01141357421875,0.0079392148181796,16.724437713623047,0.0066534508951008,16.558565139770508,0.0118298279121518,16.512680053710938,0.0086929146200418,SER,0.0
iDR4_3_SPLUS-s22s19_0037526,SPLUS-s22s19,27.500028876156428,-27.818014898755,230,5,0.088395,20.41192626953125,0.1236444786190986,20.067567825317383,0.1530711203813552,20.05941390991211,0.2470199763774871,19.939809799194336,0.1983094811439514,19.601778030395508,0.1436855047941208,19.395545959472656,0.0423457883298397,19.235334396362305,0.0833010673522949,19.01227188110352,0.0300020854920148,18.921369552612305,0.0312961898744106,18.65477561950684,0.0289242547005414,18.628002166748047,0.0639186799526214,18.594696044921875,0.0486331991851329,SER,1.0
iDR4_3_SPLUS-s22s19_0037623,SPLUS-s22s19,27.4689826305918,-27.820323438180687,230,2,0.088395,19.559694290161133,0.0594583712518215,19.33277130126953,0.0815678238868713,19.468381881713867,0.1469738185405731,19.330646514892575,0.1152824610471725,19.303226470947266,0.109983429312706,19.359546661376957,0.0406979322433471,19.20253562927246,0.0803923606872558,19.00055885314941,0.0294553339481353,18.921459197998047,0.0310458336025476,18.74413108825684,0.0311087295413017,18.779621124267575,0.0730082094669342,18.743640899658203,0.0555264689028263,REX,0.0
iDR4_3_SPLUS-s38s34_0024606,SPLUS-s38s34,66.73137385587135,-49.12500988509667,235,3,0.05828,18.9711971282959,0.080529011785984,18.62277603149414,0.0808933451771736,18.493282318115234,0.1147873401641845,18.169527053833008,0.0856152102351188,18.01127815246582,0.0726347044110298,17.880794525146484,0.0230040065944194,17.6669921875,0.0418684370815753,17.542137145996094,0.0145407691597938,17.477487564086914,0.0158788375556468,17.271326065063477,0.0131351351737976,17.203935623168945,0.0243274290114641,17.176406860351562,0.017708670347929,SER,0.0
iDR4_3_SPLUS-s38s34_0024660,SPLUS-s38s34,66.72824329992409,-49.11766055596938,235,2,0.05828,21.105607986450195,0.5370593070983887,21.665576934814453,1.237679958343506,20.43448829650879,0.6523237228393555,19.741748809814453,0.3453080654144287,20.16279411315918,0.4859625697135925,19.705904006958008,0.1053094491362571,19.265796661376957,0.1605733931064605,19.45619773864746,0.0657733827829361,19.481101989746094,0.0763649344444274,19.06157112121582,0.0539353489875793,19.226531982421875,0.1321920156478881,19.28797912597656,0.1061851233243942,SER,0.0
