RA,DEC,NAME,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,GroupID,GroupSize
259.1441667,39.0879722,260,259.1367917,39.1159167,260,2,17 16 32.83,+39 06 57.3,0.0,,19.8265,19.6654,Simbad,22,5
259.1441667,39.0879722,260,259.1450833,39.0689167,260,3,17 16 34.82,+39 04 08.1,0.0,,19.3217,18.9083,Simbad,22,5
259.1441667,39.0879722,260,259.155,39.0895556,260,4,17 16 37.20,+39 05 22.4,0.0,,18.8137,18.9011,Simbad,22,5
259.1441667,39.0879722,260,259.1655417,39.1053889,260,5,17 16 39.73,+39 06 19.4,0.0,,17.7167,17.3725,Simbad,22,5
267.4914583,68.4053611,261,267.4501667,68.4004167,261,1,17 49 48.04,+68 24 01.5,0.0522,,18.7597,18.2468,Simbad,23,5
267.4914583,68.4053611,261,267.461,68.3863056,261,2,17 49 50.64,+68 23 10.7,0.0509,,19.0448,17.879,Simbad,23,5
267.4914583,68.4053611,261,267.47775,68.4074444,261,3,17 49 54.66,+68 24 26.8,0.051225,,17.227,16.5201,Simbad,23,5
267.4914583,68.4053611,261,267.5199167,68.4139722,261,4,17 50 04.78,+68 24 50.3,0.0,,19.8416,19.0851,Simbad,23,5
267.4914583,68.4053611,261,267.5484583,68.4186111,261,5,17 50 11.63,+68 25 07.0,0.0,,19.6881,19.6086,Simbad,23,5
321.98475,-46.64275,262,321.9612083,-46.6547222,262,1,21 27 50.69,-46 39 17.0,0.0,,19.8253,19.3884,Simbad,24,5
321.98475,-46.64275,262,321.9800417,-46.6295278,262,2,21 27 55.21,-46 37 46.3,0.046689,,18.2001,17.6902,Simbad,24,5
321.98475,-46.64275,262,321.9803333,-46.64,262,3,21 27 55.28,-46 38 24.0,0.0,,19.8406,19.2039,Simbad,24,5
321.98475,-46.64275,262,321.9865,-46.6441667,262,4,21 27 56.76,-46 38 39.0,0.0,,18.5032,18.9656,Simbad,24,5
321.98475,-46.64275,262,322.0155833,-46.6452778,262,5,21 28 03.74,-46 38 43.0,0.0,,19.1349,18.6208,Simbad,24,5
323.84725,-49.93475,263,323.8237083,-49.9336111,263,1,21 35 17.69,-49 56 01.0,0.0,,19.2629,18.8239,Simbad,25,5
323.84725,-49.93475,263,323.834,-49.9335556,263,2,21 35 20.16,-49 56 00.8,0.0,,18.9065,18.52,Simbad,25,5
323.84725,-49.93475,263,323.8369583,-49.9363889,263,3,21 35 20.87,-49 56 11.0,0.0554,,18.6541,18.0395,Simbad,25,5
323.84725,-49.93475,263,323.866,-49.9327222,263,4,21 35 27.84,-49 55 57.8,0.0,,19.2072,19.2148,Simbad,25,5
323.84725,-49.93475,263,323.8755417,-49.9375278,263,5,21 35 30.13,-49 56 15.1,0.054448,,18.3549,17.9151,Simbad,25,5
328.8692917,-20.8628889,276,328.8524167,-20.8626944,276,1,21 55 24.58,-20 51 45.7,0.0,,19.6331,19.3956,Simbad,26,6
328.8692917,-20.8628889,276,328.853,-20.8862222,276,2,21 55 24.72,-20 53 10.4,0.38,,20.0664,19.2073,Simbad,26,6
328.8692917,-20.8628889,276,328.8585,-20.8563333,276,3,21 55 26.04,-20 51 22.8,0.0,,18.8517,18.2243,Simbad,26,6
328.8692917,-20.8628889,276,328.865625,-20.8588333,276,4,21 55 27.75,-20 51 31.8,0.0,,19.8329,19.6747,Simbad,26,6
328.8692917,-20.8628889,276,328.8825833,-20.8591667,276,5,21 55 31.82,-20 51 33.0,0.066913,,17.8721,17.6667,Simbad,26,6
328.8692917,-20.8628889,276,328.9036667,-20.8541389,276,6,21 55 36.88,-20 51 14.9,0.0,,19.8348,19.709,Simbad,26,6
