Group RA Dec zUV nUV ngal nz mz r_theta_ Rij sigmalos Simbad
256 211.851375 12.716 0.139371 5 5 3 2 1.253 0.0 0.0 Simbad
257 233.2950833333333 12.879555555555555 0.053224 5 5 3 2 1.029 0.0 0.0 Simbad
258 243.30229166666663 8.54786111111111 0.063233 5 5 4 3 1.7 91.76 85.29 Simbad
261 267.4914583333333 68.40536111111112 0.051225 5 4 3 3 1.19 53.04 219.04 Simbad
262 321.98474999999996 -46.64275 0.046689 5 5 1 1 0.979 0.0 0.0 Simbad
263 323.8472499999999 -49.934749999999994 0.054924 5 3 2 2 0.87 0.0 0.0 Simbad
266 6.301916666666666 -60.62994444444445 0.031292 6 6 1 1 1.141 0.0 0.0 Simbad
269 50.254374999999996 -33.90475 0.070421 6 5 4 3 1.144 179.78 224.71 Simbad
271 72.38737499999999 -73.06925 0.027543 6 3 2 2 1.263 0.0 0.0 Simbad
272 125.02 21.07136111111111 0.017462 6 4 3 1 1.583 0.0 0.0 Simbad
273 168.6338333333333 -0.8523055555555555 0.06907 6 6 5 4 1.519 106.41 57.16 Simbad
274 185.30691666666664 49.45944444444445 0.045355 6 5 4 2 1.354 0.0 0.0 Simbad
275 230.49587499999998 3.560111111111111 0.084655 6 5 4 4 0.701 72.12 268.79 Simbad
276 328.86929166666664 -20.86288888888889 0.066913 6 5 1 1 1.335 0.0 0.0 Simbad
279 196.821 13.649111111111111 0.063226 7 6 5 1 1.704 0.0 0.0 Simbad
