_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME
128.680125,15.7845556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 74,08 34 43.23,+15 47 04.4,0.106012,4,4,4,3,1.442,162.81,105.53,Simbad,74
129.7189583,1.4,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 75,08 38 52.55,+01 24 00.0,0.029158,4,3,2,2,0.904,,,Simbad,75
134.3137917,39.2606667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 76,08 57 15.31,+39 15 38.4,0.028614,4,3,2,1,1.306,,,Simbad,76
137.1685417,30.8873056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 77,09 08 40.45,+30 53 14.3,0.063449,4,3,3,3,0.613,79.51,144.57,Simbad,77
139.939,55.5796111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 78,09 19 45.36,+55 34 46.6,0.048463,4,3,2,2,1.167,,,Simbad,78
143.03725,15.9977222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 79,09 32 08.94,+15 59 51.8,0.040148,4,4,3,3,1.194,68.91,78.33,Simbad,79
145.443875,37.1126389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 80,09 41 46.53,+37 06 45.5,0.050991,4,3,2,1,1.306,,,Simbad,80
146.138875,28.5391667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 81,09 44 33.33,+28 32 21.0,0.052644,4,4,2,1,0.959,,,Simbad,81
151.7129583,53.4379167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 82,10 06 51.11,+53 26 16.5,0.045749,4,2,2,2,1.306,,,Simbad,82
152.0339167,42.9464167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 83,10 08 08.14,+42 56 47.1,0.073963,4,3,1,1,1.382,,,Simbad,83
152.654375,64.2138333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 84,10 10 37.05,+64 12 49.8,0.039536,4,3,1,1,0.878,,,Simbad,84
