col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
1237655470210613310,6382772935055114271,592,52025,270,230.94154,2.670274,0.0209,4.4,9.35,0.04,-0.373,0.043,1.416,0.124,0.207,0.049,0.129,0.035,0,1,3,2,1,230.94175,2.6702778,171,2,15 23 46.02,+02 40 13.0,0.020865,,18.2604,17.8774,Simbad,0.7553030148750668
1237655473431970035,6371267637865877501,817,52381,71,249.90507,39.514011,0.0311,0.04,9.337,0.034,-0.764,0.058,1.303,0.217,0.195,0.058,0.125,0.042,0,1,3,2,1,249.9052917,39.5142222,182,1,16 39 37.27,+39 30 51.2,0.031138,,20.1861,19.5836,Simbad,0.9783672321244026
1237655497593651322,6379219314547885260,915,52443,211,210.4362,-3.15592,0.0679,6.57,10.72,0.044,0.487,0.089,3.56,0.393,1.177,0.15,0.886,0.151,0,1,3,7,1,210.43675,-3.1563056,149,1,14 01 44.82,-03 09 22.7,0.067956,,19.6281,19.1717,Simbad,2.415678891723123
1237655497593651337,6379219314547885118,915,52443,201,210.46696,-3.205281,0.0677,0.21,10.078,0.041,-0.009,0.085,1.425,0.385,0.402,0.1,0.298,0.093,0,1,3,2,1,210.46725,-3.2050278,149,4,14 01 52.14,-03 12 18.1,0.067788,,19.7983,19.9434,Simbad,1.3847012267127898
1237655742411702782,6382772900695380033,593,52026,432,232.79857,3.826116,0.0393,9.43,9.213,0.055,-0.339,0.036,0.889,0.146,0.205,0.039,0.142,0.027,0,1,3,0,1,232.7985,3.8262778,172,4,15 31 11.64,+03 49 34.6,0.039322,,18.7681,18.5565,Simbad,0.634432165793857
1237657589241348221,6373765720767992956,1007,52706,6,154.61645,49.845351,0.1408,0.19,10.957,0.069,1.221,0.072,2.317,0.243,0.676,0.144,0.483,0.119,0,1,3,2,1,154.617125,49.8454167,86,3,10 18 28.11,+49 50 43.5,0.140841,,20.0075,19.1592,Simbad,1.5847410472573191
1237657589241348238,6373765720767992980,1007,52706,63,154.64772,49.859919,0.149,0.3,10.333,0.083,0.817,0.073,1.174,0.195,0.477,0.118,0.372,0.105,0,1,3,2,1,154.6474167,49.8599722,86,4,10 18 35.38,+49 51 35.9,0.148973,,19.6021,19.4955,Simbad,0.7294794126725246
1237657608039891029,6373730595451702390,898,52606,261,135.25795,45.474981,0.0514,1.45,9.417,0.062,-0.26,0.078,1.711,0.284,0.434,0.109,0.305,0.088,0,1,3,2,1,135.257625,45.4751389,240,2,09 01 01.83,+45 28 30.5,0.051382,,20.1741,19.7159,Simbad,0.9981104702088014
1237657608039825581,6373730595451702171,898,52606,271,135.25033,45.43807,0.0514,0.2,10.577,0.031,0.243,0.089,1.4,0.197,0.301,0.086,0.208,0.069,0,1,3,2,1,135.2503333,45.4381667,240,1,09 01 00.08,+45 26 17.4,0.051464,,18.5979,18.1778,Simbad,0.34821979038521306
1237657608039891055,6373730595451702464,897,52605,603,135.25886,45.488686,0.0525,2.91,9.911,0.046,0.197,0.055,2.152,0.177,0.32,0.06,0.195,0.045,0,1,3,2,1,135.2587917,45.4889444,240,3,09 01 02.11,+45 29 20.2,0.052465,,19.8904,19.3925,Simbad,0.946075676205256
