ObjID,GLXID,plate,MJD,fiberID,RA,DEC,z_gswl,chi2_sed,logM_stellar,e_logM_stellar,logSFR_sed,e_logSFR_sed,A_FUV,e_A_FUV,A_B,e_A_B,A_V,e_A_V,flag_sed,UV_survey,flag_uv,flag_midir,flag_mgs,group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2,Separation
1237667253480980594,-99,2237,53828,163,190.31297,29.367096,0.0893,1.91,10.589,0.026,-1.715,0.819,2.157,0.587,0.334,0.081,0.22,0.054,0,1,0,0,1,406556,190.31299456,29.36708204,0.0892873,9.9857,10.4435,11.9527,12.1158,6.0535,6.7882,1.0,-1,-1,0.09199461361829842
1237660612899045482,6381963670874752934,1221,52751,63,167.98385,8.656194,0.1265,0.35,10.389,0.08,1.053,0.066,2.197,0.239,0.558,0.111,0.384,0.091,0,1,3,2,1,221452,167.98387052,8.65619446,0.126513,10.1567,10.0839,12.2027,11.7785,7.2183,5.3643,1.0,-1,-1,0.0730493151235523
1237661971182387216,6379113739956782988,1622,53385,262,177.64917,7.225861,0.0938,0.03,10.263,0.052,0.387,0.136,1.989,0.471,0.383,0.142,0.255,0.103,0,1,2,0,1,275896,177.64916141,7.22585228,0.0937774,9.8352,10.072,11.7718,11.7728,5.3395,5.3433,1.0,-1,-1,0.04389330310152371
1237667444051279964,6379324910613826795,2244,53795,571,201.62992,27.279005,0.0932,0.5,10.426,0.057,0.541,0.08,2.251,0.305,0.411,0.112,0.268,0.086,0,1,3,2,1,417910,201.62992535,27.27898985,0.0932099,10.0211,10.1232,12.0009,11.8005,6.2611,5.446,1.0,-1,-1,0.057163254730861264
1237665532244983916,6378550765307301574,2246,53767,381,204.64748,26.493069,0.112,1.12,10.412,0.041,0.345,0.086,2.218,0.304,0.381,0.111,0.248,0.086,0,1,3,7,1,389386,204.6474328,26.49306837,0.1120349,9.9603,10.1838,11.9203,11.8434,5.9189,5.6106,0.945,-1,-1,0.15209332867138786
1237652600102060544,-99,640,52200,477,321.35594,-6.958907,0.1222,0.4,11.036,0.051,-0.285,0.646,2.233,0.987,0.441,0.136,0.317,0.106,0,1,0,6,1,95870,321.35593748,-6.95890713,0.1221588,10.3395,10.7975,12.5004,12.6291,8.9469,9.8417,1.0,1,1,0.009017321900106163
1237678618471105102,6379430461582609585,983,52443,405,313.1879,1.221044,0.144,0.74,11.142,0.049,0.603,0.112,1.914,0.471,0.697,0.158,0.553,0.147,0,1,2,2,1,153581,313.18789707,1.22105672,0.1440131,10.3811,10.7855,12.5766,12.6098,9.4653,9.7011,0.955,1,1,0.046990605912135
1237667211577393426,-99,2270,53714,335,122.55048,15.00631,0.0856,1.47,10.88,0.035,-0.288,0.567,3.059,0.92,0.442,0.095,0.291,0.071,0,1,0,7,1,403538,122.55048345,15.00631179,0.0856097,10.2943,10.7252,12.4226,12.515,8.4535,9.0443,1.0,1,1,0.013617629003706489
1237671764788510918,6378937876076301754,847,52426,316,190.99975,4.539499,0.0875,0.3,10.506,0.046,-1.033,0.759,1.946,0.87,0.346,0.103,0.243,0.08,0,1,0,6,1,127226,190.99976202,4.53948691,0.0875472,9.7711,10.1915,11.7092,11.8499,5.1137,5.6357,1.0,-1,-1,0.06127866832918261
1237667211598626897,6374821265887202561,2220,53795,351,172.96557,29.632299,0.1617,2.31,11.525,0.041,0.176,0.18,1.282,0.587,0.435,0.095,0.358,0.091,0,1,3,7,1,403973,172.96555179,29.63228005,0.161721,10.8086,11.1571,13.3365,13.2108,17.338,15.5647,1.0,-1,-1,0.08888732670074642
1237655473436754206,6371478782753113940,975,52411,81,257.30795,30.50503,0.0909,0.18,10.339,0.058,0.556,0.079,2.332,0.324,0.63,0.122,0.447,0.104,0,1,3,2,1,147316,257.30793572,30.50504339,0.0908774,10.0417,10.1537,12.0278,11.8197,6.381,5.5198,1.0,-1,-1,0.065463247935388
1237655126094250109,-99,856,52339,565,210.29869,4.957695,0.0869,0.07,10.933,0.068,-0.272,0.79,3.036,0.959,1.054,0.182,0.83,0.195,0,1,0,6,1,137313,210.29869393,4.95769991,0.0868606,10.0898,10.6029,12.0975,12.3332,6.7003,7.9251,1.0,-1,-1,0.022607785177132255
1237655742411833838,6382772900695380637,593,52026,519,233.12942,3.934813,0.1588,0.33,10.867,0.047,0.52,0.138,1.549,0.424,0.6,0.187,0.48,0.164,0,1,3,1,1,153933,233.12944152,3.93481183,0.1587902,10.3942,10.6625,12.6007,12.4216,9.634,8.4474,1.0,-1,-1,0.0774040650845042
1237664291000942690,-99,1764,53467,554,182.02478,15.322313,0.1003,0.97,10.554,0.019,-1.595,0.85,1.554,0.597,0.256,0.072,0.173,0.049,0,1,0,0,1,344132,182.0247931,15.32229531,0.1003398,9.9269,10.3338,11.8781,11.9879,5.748,6.2048,1.0,-1,-1,0.07825865459376774
1237662337869676811,6371443611263832699,2949,54557,354,248.71236,27.17363,0.0732,0.41,10.732,0.02,-1.819,0.658,2.505,0.752,0.364,0.061,0.24,0.041,0,1,0,6,1,307552,248.71236213,27.17361532,0.0731991,9.9171,10.4876,11.8663,12.1727,5.7008,7.0671,1.0,1,1,0.05328645339520537
1237654881804877966,6378797138590043640,852,52375,454,201.45689,5.904098,0.0845,1.26,10.624,0.03,-0.577,0.387,1.484,0.612,0.329,0.088,0.244,0.076,0,1,3,6,1,129684,201.45688761,5.90410593,0.0845185,9.9659,10.3045,11.9272,11.9556,5.9476,6.0662,1.0,-1,-1,0.029803251892313504
1237662237471604838,6378797066649340322,1796,53884,198,196.91313,9.638488,0.0851,0.52,10.618,0.021,-1.488,0.786,1.379,0.726,0.219,0.101,0.148,0.068,0,1,2,0,1,290836,196.91313828,9.63848581,0.0851114,10.0004,10.3961,11.9725,12.0589,6.1387,6.5213,1.0,-1,-1,0.030426409533781656
1237661811197804557,6379078620009202173,1609,53142,216,177.24454,11.308552,0.0712,1.53,10.964,0.022,-0.131,0.142,1.276,0.575,0.24,0.068,0.173,0.053,0,1,3,1,1,255588,177.24450435,11.30855328,0.0711788,10.2831,10.5272,12.4034,12.2263,8.3358,7.3413,1.0,1,1,0.12593266388468072
