galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
119353,326328,-1,136.837020723,4.086535661,0.05371,17.3040009,17.7726002,0.864,-18.7638149,9.4706459,0.4511566
173939,471394,-1,10.153895729,-0.497987843,0.045275,17.6084003,17.6580009,1.0,-18.118721,8.99016,0.2558155
94668,267725,-1,358.70489548,-10.933153083,0.045216,17.3098011,17.7973995,0.8041,-18.3985844,9.2088146,0.3441906
95799,269972,-1,14.297316428,-9.939784393,0.020676,17.0753002,17.8285999,0.8571,-16.8560638,8.6705666,0.3894844
263361,729892,-1,179.922874686,8.947507267,0.02195,17.3621998,17.8024998,0.8924,-16.7061882,8.5892363,0.3845215
158284,417703,-1,232.924971065,-1.393438578,0.036845,17.2214012,17.7787991,0.8297,-18.011776,9.1466293,0.4491749
88103,251795,-1,31.933704557,-8.0095259,0.013069,16.6061001,17.7877998,0.8449,-16.4118519,8.2597075,0.2457924
97446,273392,-1,27.234810268,-9.844545661,0.050494,16.9657001,17.8083,0.8698,-18.9759827,9.4784212,0.3908062
361878,1099482,-1,192.466136966,15.090090491,0.022123,17.7800999,17.8013,0.8922,-16.3706322,8.2695189,0.2109928
66338,203592,-1,220.318257534,2.416893818,0.027246,17.2701015,17.7952995,0.8947,-17.3109913,8.8148127,0.3814411
361929,1099605,-1,200.016332954,14.80106004,0.022793,16.4458008,17.8010998,0.882,-17.7304802,9.0316267,0.3633709
353793,1038852,-1,248.75246319,24.789173745,0.057684,17.3169003,17.7831001,0.8875,-18.9171829,9.4370251,0.3659267
5763,30198,-1,47.173093288,0.033994835,0.022774,17.2708015,17.6758003,0.9873,-16.8943405,8.7786913,0.5152645
310353,846203,-1,180.011379482,13.459353403,0.055597,17.4646015,17.7863007,0.9231,-18.688694,9.4538641,0.4189491
352552,1025324,-1,234.951813101,32.467341214,0.049414,17.1676998,17.7721004,0.8813,-18.7528496,9.2459583,0.2263546
86052,247049,-1,40.774183934,-7.981477763,0.028909,17.212801,17.6886005,0.8211,-17.4710979,8.9265251,0.3916435
12040,60593,-1,221.034060651,-0.282259317,0.057818,17.4568005,17.7131004,0.9011,-18.773634,9.4640436,0.4967823
352332,1024189,-1,237.210224856,30.167158975,0.031711,17.214901,17.7763004,0.8421,-17.6667538,9.2149324,0.6055183
6786,36978,-1,32.64657475,0.500198248,0.068423,17.8499012,17.6611996,1.0,-18.759346,9.3618288,0.372736
94024,266101,-1,324.003900664,12.528432276,0.045585,17.0569,17.7826004,0.8732,-18.6508865,9.4610901,0.4853458
171572,461409,-1,312.768831354,0.833395799,0.02473,16.7842007,17.7817993,0.9179,-17.5162296,9.1555614,0.6843853
7320,42811,-1,357.760557321,1.018568131,0.027154,17.1658001,17.6466999,0.9899,-17.4091549,8.9342556,0.4779072
33719,117618,-1,171.086596874,-2.467868098,0.025629,17.6302013,17.6909008,0.8561,-16.7601528,8.7982969,0.5988655
282692,783698,-1,130.645642765,27.281893778,0.025694,17.7308006,17.7964001,0.9524,-16.6977501,8.426425,0.2174911
327808,888392,-1,198.06306966,12.907492286,0.028483,17.3894997,17.7745991,0.8736,-17.2756615,8.8323202,0.4108639
353179,1033036,-1,211.676844404,14.186480033,0.040584,17.212801,17.7870998,0.8744,-18.2257671,9.3467789,0.5888462
179227,501925,-1,30.538513615,-0.887013156,0.026953,16.5985012,17.6819,0.9852,-17.9484863,9.190589,0.5344181
362133,1116077,-1,120.309055309,21.220020498,0.030328,16.2814007,17.7926998,0.8541,-18.5270462,9.2915783,0.3967361
7820,44350,-1,21.811592955,1.028074741,0.018169,17.4106007,17.6611004,0.9322,-16.2749767,8.3039303,0.3081303
73713,219594,-1,166.59125085,2.851414574,0.039622,17.5750999,17.7889004,0.9104,-17.7813587,9.4692917,0.8924408
82469,238811,-1,24.147574161,-10.540591494,0.031429,17.4487,17.7854004,0.9547,-17.4264183,8.9654312,0.4693012
308164,841366,-1,165.209114603,10.583094071,0.035703,17.7777004,17.8013,0.9194,-17.3538628,9.2736378,0.8782959
223346,626805,-1,166.986354621,8.000833282,0.011194,14.0668993,17.7665005,0.9577,-18.5164242,9.3722382,0.4705029
361958,1100585,-1,196.115076581,15.539166264,0.034713,16.5081997,17.7908001,0.8431,-18.5678082,9.4997654,0.5671806
189371,544604,-1,115.109561257,27.50907505,0.045595,17.5995007,17.780899,0.7241,-18.1310291,9.0574713,0.2963486
64831,200603,-1,181.102538576,2.459113096,0.022441,17.2858009,17.7966995,0.9007,-16.8377991,8.7345829,0.5240231
104475,290838,-1,140.432425307,2.103275769,0.053306,17.769001,17.7847996,0.8737,-18.2782536,9.3518505,0.5837898
180600,508329,-1,50.31654945,-0.491971645,0.039892,17.8312016,17.6539993,0.9828,-17.5232887,9.4038324,0.9319553
68838,208992,-1,155.047252032,1.512760545,0.045227,17.7644997,17.7852001,0.8252,-17.9249859,9.2127476,0.5977974
34838,120142,-1,179.798363444,-1.707060667,0.020344,16.1310005,17.6525993,0.8558,-17.8004532,8.8459482,0.2498455
264520,732315,-1,166.774908957,9.789594028,0.020854,16.0153999,17.8078995,0.8846,-17.939827,9.0226526,0.3597603
227456,635724,-1,167.812434898,6.668897529,0.028899,17.1820011,17.7630997,0.8889,-17.5193787,8.84373,0.2892342
68240,207623,-1,183.894623105,1.286446186,0.020889,17.0649014,17.7812996,0.8615,-16.872879,8.4993753,0.2027721
79940,233239,-1,345.448758383,-9.58458714,0.027074,17.5617008,17.8066006,0.8415,-17.0205917,8.6878347,0.3662701
72335,216512,-1,169.521835342,2.560442049,0.029232,16.9528008,17.7735996,0.7793,-17.7350426,9.3747349,0.8016777
127338,347040,-1,209.785333624,3.511334341,0.024152,17.6392002,17.7689991,0.8519,-16.6355076,8.6706924,0.5178432
31171,109604,-1,61.043912152,-6.175782374,0.027042,17.6816998,17.6819992,0.9138,-16.8848896,8.7290592,0.4657574
83910,242192,-1,53.258350947,-7.491471066,0.033048,16.5895004,17.6888008,0.8458,-18.3763142,9.4919262,0.6206818
86295,247568,-1,59.172521831,-5.783512107,0.036661,16.8571014,17.6774998,0.8661,-18.3603916,9.4979076,0.6470966
23796,90740,-1,191.256835666,0.759790772,0.046225,16.9148006,17.6998997,0.8527,-18.846468,9.3670692,0.3597164
274781,756590,-1,118.0726387,21.195731999,0.015429,17.0400009,17.7905998,0.8507,-16.2865791,8.4074659,0.3868799
1535,6991,-1,27.762595499,-1.178201805,0.059765,17.9287014,17.6441994,0.9874,-18.36689,9.3556099,0.5012989
85253,245263,-1,63.123397588,-5.605574941,0.054494,17.3796005,17.6637993,0.8202,-18.7406597,9.3886604,0.4146881
6681,36694,-1,27.336008054,0.450668173,0.062817,17.4822998,17.6609001,1.0,-18.9402637,9.43645,0.3597851
91768,260996,-1,316.438757037,9.871808746,0.049367,17.0827007,17.7908993,0.8226,-18.812912,9.4566441,0.4249344
31727,111184,-1,46.914957352,-7.088823264,0.028816,17.2360001,17.7101994,0.8596,-17.4516449,8.8979511,0.3720016
141478,378145,-1,168.145435155,5.301623601,0.050538,17.3504009,17.8001003,0.8704,-18.6039371,9.3013706,0.3093243
308144,841338,-1,164.836127593,10.534578731,0.03463,17.4228001,17.8013,0.9194,-17.6730633,8.9641447,0.3810463
3691,20148,-1,5.632553419,-0.383508141,0.043608,16.9990997,17.6443005,1.0,-18.626049,9.3357153,0.4101143
2106,11912,-1,353.171415607,-0.757238175,0.017907,16.9780006,17.6644001,0.973,-16.6672707,8.5617781,0.3436222
14059,65881,-1,182.404506583,0.53612578,0.020631,17.7210999,17.7133999,0.9464,-16.1841125,8.5932674,0.6522655
83440,241222,-1,20.97066166,-10.256330668,0.051212,17.4022999,17.8066998,0.8317,-18.565136,9.3923025,0.5163097
167958,446391,-1,346.873356574,-9.840152966,0.032001,16.9673004,17.7929001,0.8962,-17.9218407,9.3041468,0.5982418
93058,263694,-1,352.795550789,15.032833646,0.019313,17.8015003,17.7870998,0.8732,-15.9851446,8.4336891,0.4861116
118449,324443,-1,143.968821947,4.016803294,0.018297,15.1210995,17.8006001,0.8475,-18.572525,9.3370934,0.4237843
25444,94748,-1,179.632867899,1.131922955,0.039282,16.8213997,17.6945,0.8744,-18.5663128,9.3025494,0.3542023
284599,788541,-1,122.646811809,22.951792751,0.04114,17.573101,17.7931995,0.885,-17.8993855,9.2103844,0.5831776
112891,310465,-1,151.935864551,3.432820392,0.063427,17.5895004,17.7761002,0.8661,-18.8589153,9.3648949,0.3446369
88783,253752,-1,312.372482388,-6.813675646,0.020975,17.3576012,17.7905998,0.9286,-16.6116219,8.4917727,0.320612
156553,414035,-1,202.957237067,-2.953264789,0.054098,17.5123997,17.7735996,0.9467,-18.5720005,9.4121771,0.5315228
311316,849271,-1,197.709703161,13.180356738,0.027517,16.9106998,17.7709007,0.8736,-17.6410351,9.3334503,0.7946568
120032,327480,-1,179.905586638,5.689500402,0.043891,17.5146008,17.7794991,0.9162,-18.1260319,9.1206341,0.381834
183401,528255,-1,56.790951558,1.099503489,0.030063,16.8990002,17.7812004,0.9587,-17.8717594,9.2603045,0.5934277
16553,73150,-1,159.934518313,-0.857902416,0.025328,16.7196999,17.7222004,0.8065,-17.6378784,8.9845486,0.3701382
17662,75140,-1,216.980740605,-1.008177031,0.02946,16.4432011,17.7224007,0.9386,-18.2927189,9.1920862,0.3653736
231504,646320,-1,167.468101204,8.735488741,0.071487,17.6286011,17.7828999,0.8846,-19.0774059,9.4940147,0.4012241
278486,766331,-1,135.580752227,8.50743828,0.031151,17.7320004,17.7998009,0.8791,-17.1417179,8.8090553,0.4535866
283451,785704,-1,117.229669962,19.744175716,0.061299,17.5080013,17.7982998,0.8563,-18.8530712,9.4853563,0.4865456
19502,80565,-1,147.830877886,-0.175937294,0.037033,17.3425999,17.7064991,0.9193,-17.9258957,9.063715,0.4221554
160296,424150,-1,219.5500277,-2.465401937,0.057206,17.6368008,17.7866993,0.8444,-18.5625534,9.4730663,0.5716286
361200,1093843,-1,125.684890554,7.697175761,0.039733,17.4074001,17.7938995,0.8545,-18.0008659,9.1740322,0.4369888
78552,230332,-1,338.19326053,-9.862988719,0.043432,17.6822014,17.8239002,0.8692,-17.926239,9.0966282,0.4577408
348081,1001061,-1,252.009463819,25.153998574,0.05504,17.2111015,17.7747002,0.9641,-18.9212036,9.4534702,0.3936176
99772,278938,-1,349.980191233,-8.847043387,0.060014,17.3964005,17.7793999,0.878,-18.9272423,9.4464407,0.3496056
310459,846403,-1,184.734420467,13.478987728,0.027256,17.2434006,17.7861996,0.8531,-17.3380165,8.8081446,0.3673496
234468,653290,-1,168.576862167,10.061198858,0.046277,17.7818012,17.7926998,0.9455,-17.9657459,9.1286325,0.4125366
72118,216138,-1,159.85167674,2.444228721,0.019064,17.6043015,17.7730999,0.9242,-16.2360497,8.1579819,0.1852074
77762,228840,-1,220.711507064,4.534302969,0.028555,16.9771004,17.7793007,0.9515,-17.6973495,8.9896212,0.4248943
157883,416962,-1,207.478410984,-2.012853692,0.023306,17.75,17.7798004,0.8376,-16.50177,8.2977657,0.1299896
83335,241047,-1,15.527150681,-10.538312207,0.05475,17.5549011,17.8085003,0.8333,-18.5538788,9.4195681,0.5334949
85266,245652,-1,349.9963927,-9.588842788,0.069322,17.4624004,17.8017006,0.878,-19.1876621,9.4199791,0.3022137
74261,220615,-1,198.948996366,2.913754113,0.019593,17.4707012,17.7891998,0.936,-16.3307571,8.6925888,0.6760273
14145,66032,-1,187.780959324,0.463125826,0.021365,15.6508999,17.7133999,0.9355,-18.3464584,9.3075037,0.4858704
73840,219832,-1,170.962951165,2.875726954,0.039785,17.7336006,17.7891006,0.8011,-17.6898785,8.8914948,0.2699089
15640,69586,-1,189.395799839,1.009071491,0.073669,17.9413013,17.7120991,0.8914,-18.8270626,9.4747381,0.3838406
30929,108955,-1,38.698997499,-8.784723646,0.04237,17.6416016,17.6854,0.8694,-17.8079586,9.4192429,0.8999958
104739,291525,-1,142.681139912,2.648107756,0.027731,17.4297009,17.7709999,1.0,-17.1840572,8.854826,0.4517479
270808,746123,-1,151.697790833,10.171829179,0.024717,17.139801,17.7989998,0.8667,-17.1649017,8.9135675,0.5037785
96783,271938,-1,21.020711038,-8.940005419,0.042114,16.7719002,17.7938995,0.8317,-18.7683887,9.4364958,0.4540863
140648,376343,-1,208.934121133,4.243652195,0.029495,16.5391998,17.7812996,0.9185,-18.1611996,9.4579582,0.6421909
264064,731399,-1,168.209001031,9.527553824,0.020859,16.6557007,17.7959995,0.9455,-17.3093605,8.6723452,0.2806625
327562,887846,-1,179.502214289,13.244371593,0.055479,17.5832005,17.7747002,0.8639,-18.5652218,9.3106623,0.4007034
174835,477009,-1,8.921352165,-0.203798312,0.030195,15.9802999,17.6394997,0.9902,-18.8126583,9.4418449,0.4061813
326058,881972,-1,200.637037913,11.980486182,0.038551,16.9973011,17.7933998,0.8758,-18.3386841,9.3200035,0.4468899
15053,68512,-1,159.008623829,0.98904154,0.018928,17.4109001,17.7122002,1.0,-16.3712101,8.4782495,0.41185
332517,907839,-1,185.079539093,8.536257584,0.014829,16.7673016,17.7956009,0.8164,-16.4572868,8.4054394,0.3187294
171140,458989,-1,319.346820459,-0.431829392,0.043223,17.7221012,17.7686005,0.9867,-17.8660641,9.1069584,0.4748535
91,269,-1,41.606953323,-0.831676376,0.042875,17.8281002,17.6723003,0.9617,-17.7026348,9.4251013,0.8917103
350652,1010690,-1,242.82783982,32.23881332,0.039313,17.7336998,17.8045998,0.8539,-17.641243,9.0996389,0.5834084
66927,204906,-1,205.189222219,3.103484884,0.043438,17.441,17.7866993,0.9134,-18.1706524,9.0858021,0.2934456
227311,635444,-1,158.653839341,6.268962701,0.044925,16.8045006,17.7632008,0.8163,-18.8776493,9.4696312,0.4281693
106668,295313,-1,172.068037593,2.657313303,0.022251,16.9334011,17.7992001,0.8302,-17.16292,8.8717632,0.4456463
114026,313361,-1,139.294246745,3.533683065,0.081202,17.7947998,17.7852001,0.868,-19.193573,9.3019772,0.1899052
344384,991518,-1,243.168584353,29.387983854,0.031376,17.3518009,17.7812004,0.9159,-17.495882,9.2175617,0.7853775
125978,343929,-1,158.727407699,0.565321013,0.065638,17.6921997,17.7133999,0.9306,-18.8296776,9.3771448,0.37397
105560,293151,-1,165.427618721,1.903914225,0.038354,16.5974998,17.7724991,0.8421,-18.7451077,9.3197994,0.3299103
96251,270886,-1,14.167073359,-9.4862042,0.044267,17.328001,17.8057995,0.8571,-18.3118076,9.3522005,0.4810944
161630,427220,-1,230.527087667,-0.87685235,0.027904,16.9855003,17.7800999,1.0,-17.6228714,9.032115,0.4798203
161404,426758,-1,215.992459167,-1.128419423,0.034362,17.1779003,17.7803001,1.0,-17.9249477,9.022646,0.3454323
4365,21985,-1,40.059998148,-0.318636145,0.067935,17.9473,17.6464005,0.9632,-18.6357346,9.4355259,0.470335
219487,617486,-1,144.249519505,4.519944442,0.022958,17.0762005,17.7742004,0.8475,-17.129055,8.7590361,0.3995419
4079,21142,-1,22.269322994,-0.25142905,0.049493,17.1277008,17.6530991,1.0,-18.784481,9.3738775,0.3425865
35994,123102,-1,195.493553939,-3.679685898,0.017072,16.184,17.6170006,0.7766,-17.3396358,8.7864256,0.3415718
176161,486502,-1,325.834584374,0.779951389,0.029553,17.4720001,17.7663994,0.8824,-17.2716141,8.6980515,0.2584133
76091,225166,-1,219.28721879,3.493102205,0.032838,16.7489014,17.7801991,0.8842,-18.2147312,9.219429,0.3574905
220805,620726,-1,149.244292359,5.814075371,0.02173,17.2919998,17.7686996,0.9545,-16.6448746,9.1327829,0.862525
324070,876398,-1,190.208016448,11.431758309,0.044687,17.1224003,17.8010998,0.7857,-18.5388317,9.3869696,0.4683685
5728,30011,-1,45.074932449,0.110855632,0.062199,17.3253002,17.6732006,1.0,-19.0883751,9.3955545,0.2669239
356421,1050228,-1,250.678753284,21.890710582,0.040187,17.3612003,17.7854004,0.9541,-18.0855446,9.154707,0.4670792
27295,99803,-1,27.008601306,14.034675424,0.034361,16.9619007,17.6389008,0.8689,-18.1008434,9.1968727,0.4546299
28814,103544,-1,26.34429532,13.436284405,0.018683,16.9750004,17.6546001,0.8689,-16.7677765,8.5960331,0.3747482
283101,784766,-1,117.451583932,19.475530019,0.048276,17.1704006,17.7749004,0.8563,-18.6705322,9.3721895,0.3887768
