group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2
147042,255.5633573,32.15247225,0.0327344,9.8634,10.1916,11.8027,11.85,5.4543,5.636,1.0,1,1
127059,214.60800198,3.33657448,0.1349777,10.1097,10.3571,12.1275,12.0139,6.8444,6.3191,1.0,-1,-1
293020,202.08053991,6.19217797,0.0830603,9.9495,10.3673,11.906,12.0252,5.8598,6.3695,0.995,-1,-1
352419,164.92193326,34.71555942,0.1364233,10.1769,10.6329,12.2353,12.3782,7.3881,8.1865,1.0,-1,-1
103328,324.0324766,10.83475223,0.0783818,9.8105,9.8703,11.7466,0.0,5.247,0.0,1.0,1,0
72585,219.17861072,60.04051233,0.0476595,9.8309,10.0903,11.7673,11.7817,5.3229,5.3764,1.0,1,1
191628,144.99640333,6.38964984,0.1228502,10.5662,10.7613,12.9191,12.5707,12.2875,9.4242,1.0,1,1
297924,233.72561338,4.79607488,0.1379248,10.5767,10.6779,12.9388,12.4445,12.4799,8.5882,0.885,1,-1
202626,182.96639222,57.24256185,0.1623538,10.5935,11.1367,12.9697,13.18,12.791,15.1679,1.0,-1,-1
70457,150.39958245,60.17788383,0.1511613,10.4896,10.7533,12.778,12.558,11.015,9.335,1.0,-1,-1
280038,182.49665262,42.40147579,0.1235666,10.0295,10.0288,12.0115,11.7535,6.3085,5.272,1.0,-1,-1
111155,20.356066,14.82474635,0.1282967,10.5814,11.0802,12.9478,13.0934,12.5687,14.1245,1.0,1,1
390230,222.53399348,23.18221361,0.1562119,10.577,11.0741,12.9393,13.0833,12.4847,14.0092,1.0,-1,-1
143970,215.23576151,58.6510589,0.0487091,10.0921,10.3623,12.1009,12.0201,6.7161,6.3466,1.0,1,1
205320,160.20923588,51.98864195,0.1548318,10.5343,10.8379,12.861,12.6944,11.7408,10.3366,1.0,-1,-1
68326,152.88798893,60.62319161,0.073979,9.8399,9.8417,11.7768,0.0,5.358,0.0,1.0,1,0
395131,217.50300275,20.91225746,0.0866462,10.663,11.1572,13.0953,13.211,14.1467,15.5676,0.925,1,1
379937,149.0325247,27.10570085,0.1626757,10.3412,10.6532,12.5034,12.4079,8.9667,8.3638,1.0,-1,-1
278006,199.44043936,6.41684065,0.1301609,10.2993,10.6848,12.431,12.4555,8.5056,8.6572,1.0,1,-1
83653,250.16259771,44.44070241,0.132462,10.4985,10.7861,12.7946,12.6107,11.1547,9.7075,1.0,1,1
236206,130.28192765,27.55123243,0.1396646,10.1186,10.1586,12.1414,11.8236,6.9114,5.5345,1.0,-1,-1
397731,335.58360196,11.89971395,0.1518365,10.4096,10.8613,12.6285,12.7338,9.8375,10.6505,1.0,-1,-1
89153,195.56717332,1.65041139,0.0752255,10.0668,10.2766,12.0641,11.9277,6.5456,5.9498,1.0,1,1
398610,344.99901253,-0.00994188,0.1076307,10.09,10.4888,12.0979,12.1742,6.7021,7.0744,1.0,-1,-1
233862,160.69336767,13.46997297,0.0672622,9.8433,10.1153,11.7803,11.7956,5.3712,5.4279,0.9,1,1
280759,195.76061307,42.30116953,0.1098958,9.9493,10.1469,11.9058,11.8149,5.8589,5.5013,1.0,-1,-1
101182,39.67912644,-7.28795089,0.0725349,10.6374,11.0432,13.0505,13.0347,13.6358,13.4674,1.0,1,1
108486,117.89669421,37.07648951,0.0835301,9.9327,10.3642,11.8853,12.022,5.7766,6.355,0.955,-1,-1
85014,189.29369095,1.8784072,0.0779519,10.1784,10.6043,12.2378,12.3356,7.4013,7.9385,0.95,1,1
465890,155.57379714,62.3189345,0.1161944,10.1186,10.1954,12.1414,11.8529,6.9114,5.6477,1.0,-1,-1
368869,130.5999164,22.36369269,0.1178806,10.3427,10.7811,12.506,12.603,8.9845,9.6509,0.83,1,1
92794,190.27877769,3.35366235,0.0846412,9.929,10.4214,11.8807,12.0889,5.7581,6.6603,1.0,-1,-1
